"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00172443","2013-08","44.4934","-68.4582","32.0","EAST SURRY, ME US","134.7","7","26.1",",7","11",",7","5",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","26",",7","0",",7","11","","2","","8.3",",7,30,+","0",",,7,31,+","0",",,7,31,+","60.7",",,7,09,","28.9",",7,22,","27.0","7","  20.6",",,,7,5,2","  20.6",",,,7,5,3","  19.4",",,,7,5,5","22.2",",7","  25.0",",,,7,5,2","  21.7",",,,7,5,3","  19.4",",,,7,5,5","  17.8",",,,7,5,2","  18.3",",,,7,5,3","  18.3",",,,7,5,5","  19.4",",,,7,5,2","  19.4",",,,7,5,3","  18.3",",,,7,5,5","  19.0",",,,7,5,2","  19.3",",,,7,5,3","  18.8",",,,7,5,5","  22.0",",,,7,5,2","  20.3",",,,7,5,3","  18.9",",,,7,5,5","87.9",",,,7","0",",,,7","18.46",",7","24.47",",,,7","12.45",",,,7","0",",7","10.3",",7"
"USC00172443","2013-09","44.4934","-68.4582","32.0","EAST SURRY, ME US","145.3","7","10.6",",7","12",",7","7",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","12",",7","0",",7","13","","4","","2.2",",7,17,","0",",,7,30,+","0",",,7,30,+","75.2",",,7,02,","26.7",",7,01,","146.8","7","  20.0",",,,7,5,2","  19.4",",,,7,5,3","  18.9",",,,7,5,5","119.8",",7","  21.7",",,,7,5,2","  20.0",",,,7,5,3","  19.4",",,,7,5,5","  13.9",",,,7,5,2","  14.4",",,,7,5,3","  15.0",",,,7,5,5","  15.0",",,,7,5,2","  15.0",",,,7,5,3","  15.6",",,,7,5,5","  16.5",",,,7,5,2","  16.9",",,,7,5,3","  17.1",",,,7,5,5","  18.6",",,,7,5,2","  17.6",",,,7,5,3","  17.3",",,,7,5,5","153.1",",,,7","0",",,,7","14.70",",7","20.03",",,,7","9.36",",,,7","170",",7","13.0",",7"
"USC00172443","2013-10","44.4934","-68.4582","32.0","EAST SURRY, ME US","145.3","7","0.0",",7","13",",7","4",",7","0",",7","0",",7","0",",7","0",",7","7",",7","0",",7","4",",7","0",",7","8","","","","-5.0",",7,29,","0",",,7,31,+","0",",,7,31,+","9.1",",,7,31,","25.6",",7,02,","413.4","7","  16.7",",,,7,5,2","  15.6",",,,7,5,3","  15.6",",,,7,5,5","266.6",",7","  18.3",",,,7,5,2","  16.7",",,,7,5,3","  15.6",",,,7,5,5","   6.1",",,,7,5,2","   7.8",",,,7,5,3","  10.0",",,,7,5,5","   8.3",",,,7,5,2","   8.3",",,,7,5,3","  10.0",",,,7,5,5","  11.9",",,,7,5,2","  12.9",",,,7,5,3","  13.6",",,,7,5,5","  14.3",",,,7,5,2","  13.6",",,,7,5,3","  13.8",",,,7,5,5","34.0",",,,7","0",",,,7","9.73",",7","15.87",",,,7","3.60",",,,7","240",",7","14.3",",7"
"USC00172443","2013-11","44.4934","-68.4582","32.0","EAST SURRY, ME US","145.3","7","0.0",",7","10",",7","5",",7","1",",7","0",",7","0",",7","0",",7","26",",7","4",",7","0",",7","0",",7","8","","","","-12.8",",7,30,","0",",T,7,26,","8",",,7,26,","83.8",",,7,27,","17.2",",7,01,","911.2","7","   8.3",",,,7,5,2","  10.0",",,,7,5,3","  10.6",",,,7,5,5","497.8",",7","  11.1",",,,7,5,2","  10.0",",,,7,5,3","  10.6",",,,7,5,5","   1.1",",,,7,5,2","   2.2",",,,7,5,3","   4.4",",,,7,5,5","   1.7",",,,7,5,2","   2.2",",,,7,5,3","   4.4",",,,7,5,5","   4.3",",,,7,5,2","   5.4",",,,7,5,3","   7.1",",,,7,5,5","   5.8",",,,7,5,2","   6.1",",,,7,5,3","   7.4",",,,7,5,5","138.6",",,,7","8",",,,7","1.74",",7","6.70",",,,7","-3.22",",,,7","150",",7","23.2",",7"
"USC00172443","2013-12","44.4934","-68.4582","32.0","EAST SURRY, ME US","145.3","7","0.0",",7","17",",7","12",",7","1",",7","23",",7","7",",7","4",",7","28",",7","18",",7","0",",7","0",",7","11","","","","-23.3",",7,17,","457",",,7,18,","282",",,7,15,","32.0",",,7,15,","8.9",",7,06,+","1658.2","7","   2.2",",,,7,5,2","   2.8",",,,7,5,3","   3.9",",,,7,5,5","747.0",",7","   3.3",",,,7,5,2","   3.3",",,,7,5,3","   4.4",",,,7,5,5","   0.0",",,,7,5,2","   1.1",",,,7,5,3","   2.2",",,,7,5,5","   0.0",",,,7,5,2","   1.1",",,,7,5,3","   2.2",",,,7,5,5","   0.8",",,,7,5,2","   1.5",",,,7,5,3","   3.0",",,,7,5,5","   1.1",",,,7,5,2","   1.6",",,,7,5,3","   3.0",",,,7,5,5","128.4",",,,7","787",",,,7","-5.76",",7","-1.54",",,,7","-9.99",",,,7","","","",""
"USC00172443","2014-01","44.4934","-68.4582","32.0","EAST SURRY, ME US","0.0","7","0.0",",7","14",",7","7",",7","1",",7","31",",7","4",",7","9",",7","29",",7","18",",7","0",",7","0",",7","8","","","","-26.1",",7,04,","508",",,7,03,","64",",,7,03,","26.2",",,7,14,","9.4",",7,11,+","2438.9","7","   1.1",",,,7,5,2","   1.1",",,,7,5,3","   2.2",",,,7,5,5","780.7",",7","   1.1",",,,7,5,2","   1.1",",,,7,5,3","   2.2",",,,7,5,5","  -0.6",",,,7,5,2","   0.0",",,,7,5,3","   1.1",",,,7,5,5","  -0.6",",,,7,5,2","   0.0",",,,7,5,3","   1.7",",,,7,5,5","   0.4",",,,7,5,2","   0.8",",,,7,5,3","   1.8",",,,7,5,5","   0.6",",,,7,5,2","   0.9",",,,7,5,3","   1.9",",,,7,5,5","95.2",",,,7","273",",,,7","-6.85",",7","-1.78",",,,7","-11.92",",,,7","290",",7","20.6",",7"
"USC00172443","2014-02","44.4934","-68.4582","32.0","EAST SURRY, ME US","0.0","7","0.0",",7","12",",7","8",",7","1",",7","28",",7","6",",7","6",",7","28",",7","17",",7","0",",7","0",",7","5","","1","","-23.3",",7,18,","584",",,7,19,","211",",,7,05,","26.7",",,7,13,","7.8",",7,20,","3132.0","7","   0.0",",,,7,5,2","   0.0",",,,7,5,3","","","693.1",",7","   0.0",",,,7,5,2","   0.0",",,,7,5,3","","","  -1.1",",,,7,5,2","  -0.6",",,,7,5,3","","","  -0.6",",,,7,5,2","  -0.6",",,,7,5,3","","","  -0.4",",,,7,5,2","  -0.1",",,,7,5,3","","","  -0.2",",,,7,5,2","  -0.1",",,,7,5,3","","","113.3",",,,7","928",",,,7","-6.42",",7","-0.66",",,,7","-12.18",",,,7","0",",7","19.2",",7"
"USC00172443","2014-03","44.4934","-68.4582","32.0","EAST SURRY, ME US","0.0","7","0.0",",7","13",",7","8",",7","2",",7","31",",7","3",",7","5",",7","31",",7","11",",7","0",",7","0",",7","8","","","","-21.1",",7,04,","406",",,7,13,","104",",,7,31,","55.1",",,7,30,","11.1",",7,29,","3833.2","7","   0.0",",,,7,5,2","   0.0",",,,7,5,3","   1.1",",,,7,5,5","701.2",",7","   0.0",",,,7,5,2","","","","","   0.0",",,,7,5,2","   0.0",",,,7,5,3","   0.6",",,,7,5,5","   0.0",",,,7,5,2","","","","","   0.0",",,,7,5,2","   0.0",",,,7,5,3","   1.1",",,,7,5,5","   0.0",",,,7,5,2","","","","","138.8",",,,7","294",",,,7","-4.29",",7","1.55",",,,7","-10.13",",,,7","20",",7","23.2",",7"
"USC00172443","2014-04","44.4934","-68.4582","32.0","EAST SURRY, ME US","0.0","7","0.0",",7","13",",7","7",",7","1",",7","8",",7","0",",7","0",",7","15",",7","0",",7","0",",7","0",",7","13","","","","-6.7",",7,17,","254",",,7,02,+","20",",,7,01,","28.2",",,7,08,","18.3",",7,12,","4226.9","7","   7.8",",,,7,5,2","   7.2",",,,7,5,3","   6.1",",,,7,5,5","393.7",",7","  11.1",",,,7,5,2","   8.3",",,,7,5,3","   6.7",",,,7,5,5","   0.0",",,,7,5,2","   0.0",",,,7,5,3","   0.0",",,,7,5,5","   0.0",",,,7,5,2","   0.0",",,,7,5,3","   0.6",",,,7,5,5","   3.7",",,,7,5,2","   3.6",",,,7,5,3","   3.3",",,,7,5,5","   6.1",",,,7,5,2","   4.6",",,,7,5,3","   3.5",",,,7,5,5","113.6",",,,7","41",",,,7","5.21",",7","10.52",",,,7","-0.10",",,,7","230",",7","17.9",",7"
"USC00172443","2014-05","44.4934","-68.4582","32.0","EAST SURRY, ME US","0.0","7","0.0",",7","15",",7","8",",7","1",",7","0",",7","0",",7","0",",7","1",",7","0",",7","3",",7","0",",7","17","","1","","0.0",",7,29,","0",",,7,31,+","0",",,7,31,+","29.7",",,7,01,","23.3",",7,11,","4457.6","7","  13.3",",,,7,5,2","  12.8",",,,7,5,3","  11.7",",,,7,5,5","230.7",",7","  17.2",",,,7,5,2","  13.9",",,,7,5,3","  11.7",",,,7,5,5","   7.8",",,,7,5,2","   7.2",",,,7,5,3","   6.7",",,,7,5,5","   8.9",",,,7,5,2","   8.3",",,,7,5,3","   6.7",",,,7,5,5","  10.8",",,,7,5,2","  10.6",",,,7,5,3","   9.6",",,,7,5,5","  13.5",",,,7,5,2","  11.7",",,,7,5,3","   9.8",",,,7,5,5","79.2",",,,7","0",",,,7","10.89",",7","16.28",",,,7","5.50",",,,7","150",",7","14.3",",7"
"USC00172443","2014-06","44.4934","-68.4582","32.0","EAST SURRY, ME US","6.6","7","6.6",",7","10",",7","7",",7","2",",7","0",",7","0",",7","0",",7","0",",7","0",",7","19",",7","0",",7","9","","1","","5.6",",7,01,","0",",,7,30,+","0",",,7,30,+","40.9",",,7,13,","29.4",",7,29,","4525.3","7","  17.8",",,,7,5,2","  18.3",",,,7,5,3","  16.1",",,,7,5,5","67.7",",7","  22.8",",,,7,5,2","  19.4",",,,7,5,3","  16.7",",,,7,5,5","  12.8",",,,7,5,2","  12.8",",,,7,5,3","  11.7",",,,7,5,5","  14.4",",,,7,5,2","  13.9",",,,7,5,3","  12.2",",,,7,5,5","  15.6",",,,7,5,2","  15.6",",,,7,5,3","  14.3",",,,7,5,5","  18.8",",,,7,5,2","  16.8",",,,7,5,3","  14.5",",,,7,5,5","131.3",",,,7","0",",,,7","16.30",",7","22.07",",,,7","10.52",",,,7","0",",7","14.3",",7"
"USC00172443","2014-07","44.4934","-68.4582","32.0","EAST SURRY, ME US","46.3","7","39.7",",7","15",",7","8",",7","2",",7","0",",7","0",",7","0",",7","0",",7","0",",7","27",",7","0",",7","17","","2","","10.0",",7,25,","0",",,7,31,+","0",",,7,31,+","73.4",",,7,05,","27.2",",7,10,+","5.0","7","  21.1",",,,7,5,2","  21.1",",,,7,5,3","  19.4",",,,7,5,5","5.0",",7","  24.4",",,,7,5,2","  22.2",",,,7,5,3","  19.4",",,,7,5,5","  17.8",",,,7,5,2","  17.8",",,,7,5,3","  16.7",",,,7,5,5","  20.6",",,,7,5,2","  19.4",",,,7,5,3","  17.2",",,,7,5,5","  19.8",",,,7,5,2","  19.8",",,,7,5,3","  18.5",",,,7,5,5","  22.9",",,,7,5,2","  21.0",",,,7,5,3","  18.6",",,,7,5,5","162.3",",,,7","0",",,,7","19.45",",7","24.30",",,,7","14.61",",,,7","350",",7","17.9",",7"
"USC00172443","2014-08","44.4934","-68.4582","32.0","EAST SURRY, ME US","67.8","7","21.5",",7","10",",7","5",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","0",",7","7","","3","","7.8",",7,30,","0",",,7,31,+","0",",,7,31,+","16.5",",,7,14,","27.8",",7,25,+","20.0","7","  21.1",",,,7,5,2","  20.6",",,,7,5,3","  19.4",",,,7,5,5","15.0",",7","  23.9",",,,7,5,2","  21.7",",,,7,5,3","  19.4",",,,7,5,5","  18.3",",,,7,5,2","  17.2",",,,7,5,3","  18.3",",,,7,5,5","  20.6",",,,7,5,2","  19.4",",,,7,5,3","  18.3",",,,7,5,5","  19.4",",,,7,5,2","  19.5",",,,7,5,3","  18.9",",,,7,5,5","  22.0",",,,7,5,2","  20.6",",,,7,5,3","  19.0",",,,7,5,5","38.4",",,,7","0",",,,7","18.54",",7","24.05",",,,7","13.03",",,,7","150",",7","13.4",",7"
"USC00172443","2014-09","44.4934","-68.4582","32.0","EAST SURRY, ME US","79.5","7","11.7",",7","11",",7","4",",7","0",",7","0",",7","0",",7","0",",7","1",",7","0",",7","14",",7","0",",7","15","","2","","0.0",",7,19,","0",",,7,30,+","0",",,7,30,+","17.3",",,7,06,","27.8",",7,03,","144.5","7","  20.6",",,,7,5,2","  20.0",",,,7,5,3","  19.4",",,,7,5,5","124.5",",7","  23.3",",,,7,5,2","  21.1",",,,7,5,3","  19.4",",,,7,5,5","  13.9",",,,7,5,2","  15.0",",,,7,5,3","  15.6",",,,7,5,5","  15.6",",,,7,5,2","  15.6",",,,7,5,3","  15.6",",,,7,5,5","  16.6",",,,7,5,2","  17.2",",,,7,5,3","  17.2",",,,7,5,5","  19.0",",,,7,5,2","  18.0",",,,7,5,3","  17.4",",,,7,5,5","37.0",",,,7","0",",,,7","14.57",",7","20.70",",,,7","8.44",",,,7","270",",7","13.4",",7"
"USC00172443","2014-10","44.4934","-68.4582","32.0","EAST SURRY, ME US","79.5","7","0.0",",7","16",",7","11",",7","2",",7","0",",7","0",",7","0",",7","1",",7","0",",7","0",",7","0",",7","13","","1","","-0.6",",7,20,","0",",,7,31,+","0",",,7,31,+","62.2",",,7,23,","20.6",",7,03,","387.2","7","  15.6",",,,7,5,2","  15.6",",,,7,5,3","  15.6",",,,7,5,5","242.7",",7","  17.2",",,,7,5,2","  16.1",",,,7,5,3","  15.6",",,,7,5,5","   9.4",",,,7,5,2","  10.6",",,,7,5,3","  11.7",",,,7,5,5","  10.6",",,,7,5,2","  11.1",",,,7,5,3","  11.7",",,,7,5,5","  12.7",",,,7,5,2","  13.2",",,,7,5,3","  13.7",",,,7,5,5","  14.0",",,,7,5,2","  13.7",",,,7,5,3","  13.9",",,,7,5,5","191.3",",,,7","0",",,,7","10.50",",7","14.98",",,,7","6.03",",,,7","45",",7","16.1",",7"
"USC00172443","2014-11","44.4934","-68.4582","32.0","EAST SURRY, ME US","79.5","7","0.0",",7","12",",7","9",",7","2",",7","10","2,7","4","1,7","0",",7","25",",7","3",",7","0",",7","0",",7","14","","","","-12.2",",7,29,","229","2,,7,02,","229","1,,7,02,","36.1",",,7,02,","13.9",",7,25,+","893.4","7","   8.9",",,,7,5,2","   9.4",",,,7,5,3","  11.1",",,,7,5,5","506.2",",7","  10.0",",,,7,5,2","  10.6",",,,7,5,3","  11.7",",,,7,5,5","   2.2",",,,7,5,2","   3.3",",,,7,5,3","   5.0",",,,7,5,5","   2.2",",,,7,5,2","   3.3",",,,7,5,3","   5.0",",,,7,5,5","   4.8",",,,7,5,2","   5.5",",,,7,5,3","   7.2",",,,7,5,5","   5.6",",,,7,5,2","   6.0",",,,7,5,3","   7.5",",,,7,5,5","154.5",",,,7","633","1,,,7","1.46",",7","6.15",",,,7","-3.23",",,,7","45",",7","20.1",",7"
"USC00172443","2014-12","44.4934","-68.4582","32.0","EAST SURRY, ME US","79.5","7","0.0",",7","15",",7","10",",7","3",",7","2",",7","0",",7","0",",7","26",",7","8",",7","0",",7","0",",7","13","","","","-15.6",",7,31,","51",",,7,01,","23",",,7,18,","41.7",",,7,09,","13.3",",7,25,","1483.1","7","   3.3",",,,7,5,2","   3.3",",,,7,5,3","   5.0",",,,7,5,5","589.7",",7","   5.0",",,,7,5,2","   3.9",",,,7,5,3","   5.6",",,,7,5,5","   0.6",",,,7,5,2","   1.1",",,,7,5,3","   2.8",",,,7,5,5","   1.1",",,,7,5,2","   1.7",",,,7,5,3","   3.3",",,,7,5,5","   1.7",",,,7,5,2","   2.2",",,,7,5,3","   3.6",",,,7,5,5","   2.3",",,,7,5,2","   2.5",",,,7,5,3","   3.7",",,,7,5,5","191.0",",,,7","48",",,,7","-0.69",",7","3.01",",,,7","-4.39",",,,7","19",",7","111.8",",7"
"USC00172443","2015-01","44.4934","-68.4582","32.0","EAST SURRY, ME US","0.0","7","0.0",",7","15",",7","10",",7","0",",7","26",",7","9",",7","9",",7","31",",7","22",",7","0",",7","0",",7","6","","","","-26.7",",7,14,","483",",,7,31,","262",",,7,27,","22.4",",,7,27,","8.9",",7,19,","2321.7","7","   0.0",",,,7,5,2","   1.1",",,,7,5,3","   2.8",",,,7,5,5","838.6",",7","   0.6",",,,7,5,2","   1.1",",,,7,5,3","   2.8",",,,7,5,5","  -0.6",",,,7,5,2","   0.0",",,,7,5,3","   1.1",",,,7,5,5","  -0.6",",,,7,5,2","   0.0",",,,7,5,3","   1.1",",,,7,5,5","  -0.1",",,,7,5,2","   0.4",",,,7,5,3","   1.7",",,,7,5,5","   0.0",",,,7,5,2","   0.5",",,,7,5,3","   1.8",",,,7,5,5","103.5",",,,7","1103",",,,7","-8.72",",7","-2.55",",,,7","-14.89",",,,7","45",",7","25.0",",7"
"USC00172443","2015-02","44.4934","-68.4582","32.0","EAST SURRY, ME US","0.0","7","0.0",",7","15",",7","10",",7","0",",7","28",",7","10",",7","19",",7","28",",7","27",",7","0",",7","0",",7","2","","","","-27.2",",7,14,","914",",,7,25,","363",",,7,02,","23.6",",,7,02,","0.6",",7,22,","3183.4","7","   0.0",",,,7,5,2","   0.6",",,,7,5,3","","","861.7",",7","   0.0",",,,7,5,2","   0.6",",,,7,5,3","","","   0.0",",,,7,5,2","   0.0",",,,7,5,3","","","   0.0",",,,7,5,2","   0.0",",,,7,5,3","","","   0.0",",,,7,5,2","   0.0",",,,7,5,3","","","   0.0",",,,7,5,2","   0.1",",,,7,5,3","","","81.2",",,,7","1317",",,,7","-12.44",",7","-6.07",",,,7","-18.81",",,,7","350",",7","24.6",",7"
"USC00172443","2015-03","44.4934","-68.4582","32.0","EAST SURRY, ME US","0.0","7","0.0",",7","12",",7","9",",7","0",",7","31",",7","6",",7","2",",7","30",",7","8",",7","0",",7","0",",7","4","","","","-21.1",",7,06,+","838",",,7,03,+","178",",,7,15,","11.9",",,7,14,","11.1",",7,11,","3861.4","7","   0.6",",,,7,5,2","   0.6",",,,7,5,3","","","678.0",",7","   0.6",",,,7,5,2","   0.6",",,,7,5,3","","","   0.0",",,,7,5,2","   0.6",",,,7,5,3","","","   0.0",",,,7,5,2","   0.6",",,,7,5,3","","","   0.2",",,,7,5,2","   0.6",",,,7,5,3","","","   0.2",",,,7,5,2","   0.6",",,,7,5,3","","","53.2",",,,7","420",",,,7","-3.54",",7","2.38",",,,7","-9.45",",,,7","0",",7","23.2",",7"
"USC00172443","2015-04","44.4934","-68.4582","32.0","EAST SURRY, ME US","0.0","7","0.0",",7","19",",7","8",",7","1",",7","14",",7","1",",7","0",",7","19",",7","0",",7","0",",7","0",",7","5","","1","","-8.9",",7,05,","533",",,7,01,","28",",,7,09,","46.2",",,7,21,","17.2",",7,14,","4274.0","7","   7.8",",,,7,5,2","   7.2",",,,7,5,3","   6.1",",,,7,5,5","412.6",",7","  10.0",",,,7,5,2","   7.8",",,,7,5,3","   6.1",",,,7,5,5","   0.6",",,,7,5,2","   0.6",",,,7,5,3","   1.1",",,,7,5,5","   0.6",",,,7,5,2","   0.6",",,,7,5,3","   1.1",",,,7,5,5","   3.0",",,,7,5,2","   2.9",",,,7,5,3","   2.7",",,,7,5,5","   4.6",",,,7,5,2","   3.5",",,,7,5,3","   2.9",",,,7,5,5","90.8",",,,7","85",",,,7","4.58",",7","10.15",",,,7","-1.00",",,,7","330",",7","16.5",",7"
"USC00172443","2015-05","44.4934","-68.4582","32.0","EAST SURRY, ME US","0.0","7","0.0",",7","9",",7","5",",7","0",",7","0","1,7","0",",7","0",",7","2",",7","0",",7","7",",7","0",",7","14","","2","","-2.2",",7,02,","0","1,,7,31,+","0",",,7,31,+","11.4",",,7,28,","27.8",",7,07,","4480.5","7","  15.6",",,,7,5,2","  15.0",",,,7,5,3","  12.8",",,,7,5,5","206.5",",7","  18.9",",,,7,5,2","  15.6",",,,7,5,3","  13.3",",,,7,5,5","   7.2",",,,7,5,2","   7.2",",,,7,5,3","   6.1",",,,7,5,5","  11.7",",,,7,5,2","   8.9",",,,7,5,3","   6.7",",,,7,5,5","  11.1",",,,7,5,2","  11.0",",,,7,5,3","   9.7",",,,7,5,5","  14.1",",,,7,5,2","  12.1",",,,7,5,3","   9.9",",,,7,5,5","39.0",",,,7","0",",,,7","11.67",",7","17.83",",,,7","5.51",",,,7","330",",7","15.2",",7"
"USC00172443","2015-06","44.4934","-68.4582","32.0","EAST SURRY, ME US","5.6","7","5.6",",7","16",",7","7",",7","2",",7","0",",7","0",",7","0",",7","0",",7","0",",7","14",",7","0",",7","13","","2","","3.3",",7,05,","0",",,7,30,+","0",",,7,30,+","58.4",",,7,21,","27.8",",7,13,","4607.1","7","  16.1",",,,7,5,2","  16.7",",,,7,5,3","  15.6",",,,7,5,5","126.6",",7","  20.6",",,,7,5,2","  17.8",",,,7,5,3","  15.6",",,,7,5,5","  11.7",",,,7,5,2","  12.2",",,,7,5,3","  11.7",",,,7,5,5","  13.3",",,,7,5,2","  12.8",",,,7,5,3","  12.2",",,,7,5,5","  14.7",",,,7,5,2","  14.7",",,,7,5,3","  13.7",",,,7,5,5","  17.6",",,,7,5,2","  15.7",",,,7,5,3","  14.0",",,,7,5,5","150.4",",,,7","0",",,,7","14.30",",7","19.20",",,,7","9.39",",,,7","220",",7","12.5",",7"
"USC00172443","2015-07","44.4934","-68.4582","32.0","EAST SURRY, ME US","41.8","7","36.2",",7","10",",7","6",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","27",",7","0",",7","15","","4","","8.9",",7,26,+","0",",,7,31,+","0",",,7,31,+","15.7",",,7,24,","30.6",",7,12,","24.9","7","  20.6",",,,7,5,2","  20.0","1,,,7,5,3","  18.3",",,,7,5,5","24.9",",7","  23.3",",,,7,5,2","  21.1","1,,,7,5,3","  18.3",",,,7,5,5","  16.7",",,,7,5,2","  16.1","1,,,7,5,3","  15.6",",,,7,5,5","  17.8",",,,7,5,2","  17.2","1,,,7,5,3","  15.6",",,,7,5,5","  18.4",",,,7,5,2","  18.4","1,,,7,5,3","  17.3",",,,7,5,5","  21.6",",,,7,5,2","  19.5","1,,,7,5,3","  17.5",",,,7,5,5","39.6",",,,7","0",",,,7","18.70",",7","24.58",",,,7","12.82",",,,7","350",",7","11.6",",7"
"USC00172443","2015-08","44.4934","-68.4582","32.0","EAST SURRY, ME US","98.8","7","57.0",",7","12",",7","5",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","0",",7","16","","2","","10.6",",7,08,","0",",,7,31,+","0",",,7,31,+","32.5",",,7,11,","30.6",",7,18,","28.3","7","  21.7",",,,7,5,2","  21.1",",,,7,5,3","  20.0",",,,7,5,5","3.4",",7","  24.4",",,,7,5,2","  22.2",",,,7,5,3","  20.0",",,,7,5,5","  18.3",",,,7,5,2","  18.9",",,,7,5,3","  18.3",",,,7,5,5","  20.6",",,,7,5,2","  19.4",",,,7,5,3","  18.3",",,,7,5,5","  20.0",",,,7,5,2","  20.1",",,,7,5,3","  19.0",",,,7,5,5","  22.8",",,,7,5,2","  21.1",",,,7,5,3","  19.2",",,,7,5,5","60.5",",,,7","0",",,,7","20.06",",7","25.29",",,,7","14.84",",,,7","270",",7","13.9",",7"
"USC00172443","2015-09","44.4934","-68.4582","32.0","EAST SURRY, ME US","126.7","7","27.9",",7","6",",7","5",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","20",",7","0",",7","11","","1","","2.8",",7,27,","0",",,7,30,+","0",",,7,30,+","124.7",",,7,30,","31.1",",7,08,","88.2","7","  20.6",",,,7,5,2","  20.6",",,,7,5,3","  19.4","1,,,7,5,5","59.9",",7","  22.8",",,,7,5,2","  21.1",",,,7,5,3","  19.4","1,,,7,5,5","  14.4",",,,7,5,2","  15.6",",,,7,5,3","  16.1","1,,,7,5,5","  17.2",",,,7,5,2","  16.1",",,,7,5,3","  16.7","1,,,7,5,5","  18.2",",,,7,5,2","  18.6",",,,7,5,3","  18.3","1,,,7,5,5","  20.6",",,,7,5,2","  19.5",",,,7,5,3","  18.5","1,,,7,5,5","176.7",",,,7","0",",,,7","17.27",",7","23.21",",,,7","11.32",",,,7","170",",7","14.3",",7"
"USC00172443","2015-10","44.4934","-68.4582","32.0","EAST SURRY, ME US","126.7","7","0.0",",7","12",",7","6",",7","1",",7","0",",7","0",",7","0",",7","11",",7","0",",7","0",",7","0",",7","9","","1","","-5.0",",7,19,","0",",,7,31,+","0",",,7,31,+","66.8",",,7,29,","20.0",",7,14,","421.7","7","  16.1",",,,7,5,2","  16.7",",,,7,5,3","  16.7",",,,7,5,5","333.5",",7","  17.8",",,,7,5,2","  17.8",",,,7,5,3","  16.7",",,,7,5,5","   6.7",",,,7,5,2","   8.3",",,,7,5,3","   9.4",",,,7,5,5","   8.3",",,,7,5,2","   8.9",",,,7,5,3","  10.0",",,,7,5,5","  11.0",",,,7,5,2","  11.9",",,,7,5,3","  13.0",",,,7,5,5","  12.7",",,,7,5,2","  12.7",",,,7,5,3","  13.3",",,,7,5,5","105.6",",,,7","0",",,,7","7.57",",7","13.25",",,,7","1.90",",,,7","90",",7","20.1",",7"
